# Digitized traces from Genet et al. (2023), their Fig 9 (fiber angle +-alpha [deg]).
# Extracted from the published figure by hue segmentation (provenance/reproduction).
# Where variations overlap (curves coincide) an occluded segment is completed from
# the nearest visible variation. columns: panel {pressure[kPa],volume[mL],torsion[deg]}, variation, x=time[ms], y.
panel,variation,x,y
pressure,45,304.76,11.7614
pressure,45,306.49,11.7437
pressure,45,308.23,11.7437
pressure,45,309.96,11.7081
pressure,45,311.69,11.7081
pressure,45,313.42,11.7081
pressure,45,315.15,11.6726
pressure,45,316.88,11.6726
pressure,45,318.61,11.6548
pressure,45,320.35,11.6548
pressure,45,322.08,11.6548
pressure,45,323.81,11.6371
pressure,45,325.54,11.6371
pressure,45,327.27,11.6193
pressure,45,329.00,11.6193
pressure,45,330.74,11.5838
pressure,45,332.47,11.5838
pressure,45,334.20,11.4949
pressure,45,335.93,11.4594
pressure,45,337.66,11.4594
pressure,45,339.39,11.4416
pressure,45,341.13,11.4239
pressure,45,342.86,11.3883
pressure,45,344.59,11.3883
pressure,45,346.32,11.3528
pressure,45,348.05,11.3350
pressure,45,349.78,11.2995
pressure,45,351.52,11.2817
pressure,45,353.25,11.2462
pressure,45,354.98,11.2284
pressure,45,356.71,11.1929
pressure,45,358.44,11.1574
pressure,45,360.17,11.1218
pressure,45,361.90,11.1041
pressure,45,363.64,11.0863
pressure,45,365.37,11.0508
pressure,45,367.10,11.0152
pressure,45,368.83,10.9797
pressure,45,370.56,10.9442
pressure,45,372.29,10.9086
pressure,45,374.03,10.8731
pressure,45,375.76,10.8376
pressure,45,377.49,10.7843
pressure,45,379.22,10.7487
pressure,45,380.95,10.7132
pressure,45,382.68,10.6599
pressure,45,384.42,10.6244
pressure,45,386.15,10.5888
pressure,45,387.88,10.5355
pressure,45,389.61,10.5000
pressure,45,391.34,10.4645
pressure,45,393.07,10.3934
pressure,45,394.81,10.3579
pressure,45,396.54,10.3223
pressure,45,398.27,10.2513
pressure,45,400.00,10.2157
pressure,45,401.73,10.1624
pressure,45,403.46,10.1091
pressure,45,405.19,10.0203
pressure,45,406.93,9.8959
pressure,45,408.66,9.7360
pressure,45,410.39,9.4695
pressure,45,412.12,9.1853
pressure,45,413.85,8.7944
pressure,45,415.58,8.3858
pressure,45,417.32,7.9772
pressure,45,419.05,7.5508
pressure,45,420.78,7.0711
pressure,45,422.51,6.6624
pressure,45,424.24,6.2538
pressure,45,425.97,5.9162
pressure,45,427.71,5.5431
pressure,45,429.44,5.1878
pressure,45,431.17,4.9213
pressure,45,432.90,4.6193
pressure,45,434.63,4.3350
pressure,45,436.36,4.0863
pressure,45,438.10,3.8376
pressure,45,439.83,3.6066
pressure,45,441.56,3.3756
pressure,45,443.29,3.1802
pressure,45,445.02,2.9848
pressure,45,446.75,2.8249
pressure,45,448.48,2.6472
pressure,45,450.22,2.4873
pressure,45,451.95,2.3274
pressure,45,453.68,2.2030
pressure,45,455.41,2.0609
pressure,45,457.14,1.9365
pressure,45,458.87,1.8299
pressure,45,460.61,1.7056
pressure,45,462.34,1.5990
pressure,45,464.07,1.5102
pressure,45,465.80,1.4213
pressure,45,467.53,1.3147
pressure,45,469.26,1.2437
pressure,45,471.00,1.1726
pressure,45,472.73,1.1015
pressure,45,474.46,1.0305
pressure,45,476.19,0.9594
pressure,45,477.92,0.9061
pressure,45,479.65,0.8528
pressure,45,481.39,0.7995
pressure,45,483.12,0.7640
pressure,45,484.85,0.7107
pressure,45,486.58,0.6574
pressure,45,488.31,0.6218
pressure,45,490.04,0.5863
pressure,45,491.77,0.5508
pressure,45,493.51,0.5508
pressure,45,495.24,0.5330
pressure,45,496.97,0.5152
pressure,45,498.70,0.5152
pressure,45,500.43,0.5152
pressure,45,502.16,0.5152
pressure,45,503.90,0.5152
pressure,45,505.63,0.4975
pressure,45,507.36,0.4975
pressure,45,509.09,0.4975
pressure,45,510.82,0.4975
pressure,45,512.55,0.4797
pressure,45,514.29,0.4797
pressure,45,516.02,0.4797
pressure,45,517.75,0.4797
pressure,45,519.48,0.4797
pressure,45,521.21,0.4797
pressure,45,522.94,0.4797
pressure,45,524.68,0.4797
pressure,45,526.41,0.4797
pressure,45,528.14,0.4797
pressure,45,529.87,0.4797
pressure,45,531.60,0.4797
pressure,45,533.33,0.4797
pressure,45,535.06,0.4797
pressure,45,536.80,0.4797
pressure,45,538.53,0.4797
pressure,45,540.26,0.4797
pressure,45,541.99,0.4797
pressure,45,543.72,0.4797
pressure,45,545.45,0.4797
pressure,45,547.19,0.4797
pressure,45,548.92,0.4797
pressure,45,550.65,0.4797
pressure,45,552.38,0.4797
pressure,45,554.11,0.4975
pressure,45,555.84,0.4975
pressure,45,557.58,0.4975
pressure,45,559.31,0.4975
pressure,45,561.04,0.4975
pressure,45,562.77,0.4975
pressure,45,564.50,0.4975
pressure,45,566.23,0.4975
pressure,45,567.97,0.5152
pressure,45,569.70,0.5152
pressure,45,571.43,0.5152
pressure,45,573.16,0.5152
pressure,45,574.89,0.5152
pressure,45,576.62,0.5152
pressure,45,578.35,0.5152
pressure,45,580.09,0.5152
pressure,45,581.82,0.5152
pressure,45,583.55,0.5152
pressure,45,585.28,0.5152
pressure,45,587.01,0.5152
pressure,45,588.74,0.5330
pressure,45,590.48,0.5330
pressure,45,592.21,0.5330
pressure,45,593.94,0.5330
pressure,45,595.67,0.5330
pressure,45,597.40,0.5330
pressure,45,599.13,0.5330
pressure,45,600.87,0.5330
pressure,45,602.60,0.5330
pressure,45,604.33,0.5330
pressure,45,606.06,0.5330
pressure,45,607.79,0.5330
pressure,45,609.52,0.5330
pressure,45,611.26,0.5330
pressure,45,612.99,0.5330
pressure,45,614.72,0.5330
pressure,45,616.45,0.5330
pressure,45,618.18,0.5330
pressure,45,619.91,0.5508
pressure,45,621.65,0.5508
pressure,45,623.38,0.5508
pressure,45,625.11,0.5508
pressure,45,626.84,0.5508
pressure,45,628.57,0.5508
pressure,45,630.30,0.5508
pressure,45,632.03,0.5508
pressure,45,633.77,0.5508
pressure,45,635.50,0.5508
pressure,45,637.23,0.5508
