# Digitized traces from Genet et al. (2023), their Fig 7 (internal volume [mL]).
# Extracted from the published figure by hue segmentation (provenance/reproduction).
# Where variations overlap (curves coincide) an occluded segment is completed from
# the nearest visible variation. columns: panel {pressure[kPa],volume[mL],torsion[deg]}, variation, x=time[ms], y.
panel,variation,x,y
pressure,58,657.74,0.5412
pressure,58,659.41,0.5412
pressure,58,661.09,0.5412
pressure,58,662.76,0.5412
pressure,58,664.44,0.5412
pressure,58,666.11,0.5593
pressure,58,667.78,0.5593
pressure,58,669.46,0.5593
pressure,58,671.13,0.5773
pressure,58,672.80,0.5773
pressure,58,674.48,0.5954
pressure,58,676.15,0.5954
pressure,58,677.82,0.6134
pressure,58,679.50,0.6134
pressure,58,681.17,0.6314
pressure,58,682.85,0.6314
pressure,58,684.52,0.6495
pressure,58,686.19,0.6495
pressure,58,687.87,0.6675
pressure,58,689.54,0.6675
pressure,58,691.21,0.6856
pressure,58,692.89,0.6856
pressure,58,694.56,0.7036
pressure,58,696.23,0.7036
pressure,58,697.91,0.7216
pressure,58,699.58,0.7397
pressure,58,701.26,0.7397
pressure,58,702.93,0.7397
pressure,58,704.60,0.7577
pressure,58,706.28,0.7758
pressure,58,707.95,0.7758
pressure,58,709.62,0.7758
pressure,58,711.30,0.7938
pressure,58,712.97,0.8119
pressure,58,714.64,0.8119
pressure,58,716.32,0.8299
pressure,58,717.99,0.8479
pressure,58,719.67,0.8479
pressure,58,721.34,0.8479
pressure,58,723.01,0.8660
pressure,58,724.69,0.8660
pressure,58,726.36,0.8660
pressure,58,728.03,0.8660
pressure,58,729.71,0.8660
pressure,58,731.38,0.8660
pressure,58,733.05,0.8660
pressure,58,734.73,0.8660
pressure,58,736.40,0.8660
pressure,58,738.08,0.8660
pressure,58,739.75,0.8660
pressure,58,741.42,0.8660
pressure,58,743.10,0.8660
pressure,58,744.77,0.8660
pressure,58,746.44,0.8660
pressure,58,748.12,0.8660
pressure,58,749.79,0.8840
pressure,58,751.46,0.8840
pressure,58,753.14,0.8840
pressure,58,754.81,0.8840
pressure,58,756.49,0.8840
pressure,58,758.16,0.8840
pressure,58,759.83,0.8840
pressure,58,761.51,0.8840
pressure,58,763.18,0.8840
pressure,58,764.85,0.8840
pressure,58,766.53,0.8840
pressure,58,768.20,0.8840
pressure,58,769.87,0.8840
pressure,58,771.55,0.8840
pressure,58,773.22,0.8840
pressure,58,774.90,0.8840
pressure,58,776.57,0.8840
pressure,58,778.24,0.8840
pressure,58,779.92,0.8840
pressure,58,781.59,0.8840
pressure,58,783.26,0.8840
pressure,58,784.94,0.8840
pressure,58,786.61,0.8840
pressure,58,788.28,0.8840
pressure,58,789.96,0.8840
pressure,58,791.63,0.8840
pressure,58,793.31,0.8840
pressure,58,794.98,0.8840
pressure,58,796.65,0.8840
pressure,58,798.33,0.8840
pressure,58,800.00,0.8840
pressure,65,0.00,0.8840
pressure,65,1.67,0.8840
pressure,65,3.35,0.8840
pressure,65,5.02,0.8840
pressure,65,6.69,0.8840
pressure,65,8.37,0.8840
pressure,65,10.04,0.8840
pressure,65,11.72,0.8840
pressure,65,13.39,0.8840
pressure,65,15.06,0.8840
pressure,65,16.74,0.8840
pressure,65,18.41,0.8840
