# Digitized trace from Genet et al. (2023), "Reduced left ventricular dynamics
#   modeling based on a cylindrical assumption", Int. J. Numer. Meth. Biomed.
#   Engng.; their Figure 5 (baseline beat). Extracted from the published figure
#   by dark-pixel segmentation (provenance/reproduction; no image in the repo).
time_ms,pressure_kPa,pressure_mmHg,volume_mL,torsion_deg
479,0.9768,7.327,73.9558,18.4248
480,0.9356,7.018,73.9558,18.3907
481,0.8944,6.709,73.9558,18.3907
482,0.8532,6.400,73.9558,18.3393
483,0.8256,6.192,73.9558,18.2878
484,0.8256,6.192,73.9558,18.2363
485,0.7985,5.989,73.9558,18.2187
486,0.7573,5.680,73.9558,18.2187
487,0.7364,5.524,73.9558,18.1170
488,0.7158,5.369,73.9558,18.0467
489,0.6952,5.215,73.9558,18.0467
490,0.6613,4.960,73.9558,18.0467
491,0.6201,4.651,73.9558,18.0467
492,0.6192,4.644,73.9558,17.9461
493,0.6065,4.549,73.9558,17.8747
494,0.5653,4.240,73.9558,17.8747
495,0.5504,4.128,74.0869,17.8091
496,0.5504,4.128,74.2929,17.7061
497,0.5504,4.128,74.2998,17.7027
498,0.5504,4.128,74.2998,17.6874
499,0.5504,4.128,74.2998,17.6359
500,0.5504,4.128,74.5577,17.5845
501,0.5504,4.128,74.9697,17.5330
502,0.5504,4.128,74.9877,17.4815
503,0.5504,4.128,75.1055,17.4300
504,0.5504,4.128,75.5174,17.3785
505,0.5504,4.128,75.9294,17.2953
506,0.5504,4.128,76.3413,17.1923
507,0.5504,4.128,76.7532,17.1380
508,0.5447,4.086,77.1651,17.0865
509,0.5241,3.931,77.5770,17.0351
510,0.5160,3.870,77.9889,16.9524
511,0.5160,3.870,78.4009,16.8494
512,0.5160,3.870,78.8128,16.7946
513,0.5160,3.870,79.2793,16.7431
514,0.5160,3.870,79.8972,16.6916
515,0.5160,3.870,80.5150,16.6095
516,0.5160,3.870,81.1329,16.5065
517,0.5160,3.870,81.5603,16.4035
518,0.5160,3.870,82.0771,16.3268
519,0.5160,3.870,82.9010,16.3268
520,0.5039,3.780,83.4840,16.2666
521,0.4833,3.625,83.8959,16.1636
522,0.4816,3.612,84.6845,16.0606
523,0.4816,3.612,85.4580,15.9576
524,0.4816,3.612,86.0759,15.8547
525,0.4816,3.612,86.6938,15.7812
526,0.4816,3.612,87.3117,15.7298
527,0.4816,3.612,88.1157,15.6317
528,0.4816,3.612,88.8432,15.5408
529,0.4816,3.612,89.2552,15.4893
530,0.4816,3.612,89.8993,15.4088
531,0.4816,3.612,90.7231,15.3058
532,0.4816,3.612,91.5469,15.2028
533,0.4816,3.612,92.2787,15.0998
534,0.4816,3.612,92.6907,14.9969
535,0.4816,3.612,93.3305,14.8939
536,0.4816,3.612,94.1543,14.7909
537,0.4816,3.612,94.7963,14.6879
538,0.4816,3.612,95.4141,14.5850
539,0.4816,3.612,96.0320,14.4820
540,0.4816,3.612,96.7617,14.3790
541,0.4816,3.612,97.5855,14.2760
542,0.4816,3.612,98.2296,14.1730
543,0.4816,3.612,98.8475,14.0701
544,0.4816,3.612,99.4654,13.9671
545,0.4925,3.694,100.0832,13.8641
546,0.5131,3.849,100.7011,13.7611
547,0.5160,3.870,101.3190,13.6581
548,0.5160,3.870,101.8973,13.5552
549,0.5160,3.870,102.3092,13.4522
550,0.5160,3.870,102.9361,13.3492
551,0.5160,3.870,103.7600,13.2462
552,0.5160,3.870,104.2329,13.1432
553,0.5160,3.870,104.6822,13.0403
554,0.5160,3.870,105.3001,12.9373
555,0.5160,3.870,105.8127,12.8343
556,0.5160,3.870,106.2246,12.7313
557,0.5160,3.870,106.8098,12.6283
558,0.5160,3.870,107.3924,12.5254
559,0.5160,3.870,107.8043,12.4224
560,0.5263,3.948,108.2162,12.3194
561,0.5469,4.102,108.6281,12.2164
562,0.5504,4.128,109.0400,12.1135
563,0.5504,4.128,109.4520,12.0022
564,0.5504,4.128,109.8639,11.8477
565,0.5504,4.128,110.2758,11.6933
566,0.5504,4.128,110.6877,11.5388
567,0.5504,4.128,111.0996,11.4266
568,0.5504,4.128,111.5115,11.3236
569,0.5504,4.128,111.9235,11.2206
570,0.5504,4.128,112.3354,11.1176
571,0.5504,4.128,112.7473,11.0146
572,0.5504,4.128,112.8256,10.9117
573,0.5504,4.128,112.8832,10.8087
574,0.5504,4.128,113.2951,10.7057
575,0.5504,4.128,113.7070,10.6027
576,0.5504,4.128,114.1189,10.4998
577,0.5504,4.128,114.3662,10.3968
578,0.5504,4.128,114.5721,10.2938
579,0.5504,4.128,114.7781,10.1908
580,0.5504,4.128,114.9840,10.0405
581,0.5504,4.128,115.1900,9.8346
582,0.5504,4.128,115.3959,9.7505
583,0.5504,4.128,115.6264,9.6868
584,0.5504,4.128,116.0383,9.5323
585,0.5504,4.128,116.2654,9.4010
586,0.5504,4.128,116.2654,9.2980
587,0.5504,4.128,116.5861,9.1950
588,0.5504,4.128,116.9533,9.0920
589,0.5504,4.128,116.9533,8.9890
590,0.5504,4.128,117.0436,8.8861
591,0.5504,4.128,117.2496,8.7831
592,0.5504,4.128,117.4555,8.6801
593,0.5504,4.128,117.6413,8.5771
594,0.5504,4.128,117.6413,8.4741
595,0.5504,4.128,117.8176,8.3712
596,0.5504,4.128,118.2295,8.2682
597,0.5504,4.128,118.3292,8.1652
598,0.5504,4.128,118.3292,8.0622
599,0.5504,4.128,118.3292,7.9592
600,0.5504,4.128,118.4152,7.8993
601,0.5504,4.128,118.6212,7.8993
602,0.5504,4.128,118.8271,7.7453
603,0.5504,4.128,119.0172,7.5513
604,0.5504,4.128,119.0172,7.4998
605,0.5504,4.128,119.0172,7.4274
606,0.5504,4.128,119.0172,7.3244
607,0.5504,4.128,119.3208,7.2214
608,0.5504,4.128,119.7052,7.1184
609,0.5504,4.128,119.7052,7.0154
610,0.5504,4.128,119.7052,6.9125
611,0.5504,4.128,119.7052,6.8095
612,0.5504,4.128,119.7052,6.7439
613,0.5504,4.128,119.7168,6.6895
614,0.5504,4.128,119.9227,6.5865
615,0.5504,4.128,120.1287,6.4836
616,0.5504,4.128,120.3346,6.3806
617,0.5504,4.128,120.3931,6.2776
618,0.5504,4.128,120.3931,6.1770
619,0.5504,4.128,120.3931,6.1255
620,0.5504,4.128,120.3931,6.0547
621,0.5504,4.128,120.3931,5.9517
622,0.5504,4.128,120.5385,5.8850
623,0.5504,4.128,120.7371,5.8317
624,0.5504,4.128,120.7371,5.7287
625,0.5504,4.128,120.7371,5.6258
626,0.5504,4.128,120.7371,5.5228
627,0.5504,4.128,120.8803,5.4556
